vol_id,layer_id,z,r,FTF_id
24,6,1952.4230100737798,601.687880305696,
24,4,1702.3583237253847,585.2500160934283,
24,2,1512.3941107819608,585.8172473911945,
24,12,2849.2002821122633,586.5922511910242,
24,10,2531.7525360646105,595.6816978672564,
24,8,2237.228318027357,607.9316522321336,
23,8,-93.05382630512335,1000.1944297554187,
23,6,-96.62615812709186,762.2371798713236,
23,4,-66.90762094127358,562.6794764930784,
23,2,-37.22188863620333,399.5557703661688,
22,10,-1702.309404006807,579.9636486236154,
22,12,-1512.333868567336,576.4604249839174,
22,4,-2532.34654768319,602.9071204941671,
22,6,-2237.088991281077,585.1899476630657,
22,8,-1952.5696585172343,598.1084175453909,
22,2,-2850.510421451431,603.9770809006524,
20,4,450.11860037448514,298.05714925459773,97
20,10,647.9228850983002,295.4119035564011,97
20,6,507.9397968313547,299.07245752788907,97
20,28,1789.7783132530121,295.114792834412,98
20,2,400.28001300940355,294.814334295415,97
20,32,2253.270457697642,296.5082426081299,98
20,12,729.9738363544593,294.4296000500437,97
20,8,577.0428477260044,293.9398643169681,97
20,30,2007.8949771689497,291.6566055878067,98
20,18,1033.6369266560337,300.487660045052,97
20,22,1274.4752475247524,294.40297905126687,98
20,36,2848.0901525658805,291.9014183904206,98
20,34,2533.7992916174735,294.72884928686227,98
20,20,1143.434131736527,289.6551999955888,98
20,14,818.0674827004319,300.5008576239723,97
20,24,1427.4806629834254,295.64108647048727,98
20,16,922.6738755605226,295.1419103879014,97
20,26,1596.3785594639867,293.56820747106667,98
19,32,2851.242424242424,236.90149632611846,96
19,6,523.2528966378958,232.7062118606831,95
19,2,397.7964694521843,238.60436034774585,
19,22,1473.4374393792434,233.5922519136516,96
19,20,1297.2299349240782,232.31550017911792,96
19,26,1911.55667001003,233.71653856198094,96
19,24,1676.5662431941923,233.15908031570947,96
19,8,597.6294736161191,234.95071033558557,95
19,4,460.3445929304619,230.2257911858488,95
19,12,784.9128515042557,235.62401118395206,95
19,16,1037.177992012506,233.0852709608728,95
19,30,2490.9808274470233,234.87344157434555,96
19,28,2179.1094527363184,231.7142472377573,96
19,14,904.0945376791765,231.44496646907442,95
19,18,1144.7095032397408,235.27376362138523,96
19,10,685.4153634467383,234.5693298809866,95
18,28,2152.36197021764,175.13550245302076,94
18,26,1961.2265966754155,174.45281615416448,94
18,2,406.05071859961157,164.9269063882778,93
18,14,1145.6298377028713,173.22016458602099,94
18,12,1041.1908810221355,165.49910299416734,93
18,20,1493.2209302325582,175.71307284555942,94
18,18,1365.596,173.30359246056022,94
18,16,1248.7221510883483,174.2110666090127,94
18,34,2850.086642599278,172.67175086517756,
18,6,578.9414184738918,169.52427917312284,93
18,8,702.7301765581578,163.4743775978633,93
18,24,1788.3157894736842,172.63271984028083,94
18,22,1632.1091205211726,172.46833580678165,94
18,32,2593.050592034446,171.19275246579903,94
18,30,2360.9692923898533,171.0348135651246,94
18,4,482.0812454315887,169.19621398826297,93
18,10,851.119426460851,168.7916828968406,93
16,6,-29.110892121658612,291.16328734994454,
16,4,-28.65166241547821,228.26386465355134,
16,2,-18.135919241123965,160.2127299784577,
15,34,-450.72786372416726,296.97167682664605,77
15,4,-2532.0335731414866,295.0118662102295,78
15,30,-576.2371103862333,294.52866486398483,77
15,32,-507.7024622026658,297.9574426530267,77
15,2,-2851.54203539823,294.2272792125747,78
15,6,-2249.4235033259424,294.32193495675807,78
15,36,-399.60571220942904,294.65820268539034,77
15,24,-822.7535103343013,293.87773000800956,77
15,16,-1277.5201535508638,293.66082486194085,78
15,18,-1143.9778761061948,295.7662774080737,78
15,20,-1036.6612530578411,295.18694247687046,77
15,8,-2008.6317689530686,291.6256561015311,78
15,28,-645.1576401793841,299.3296199708185,77
15,10,-1789.7128072445018,293.6554246522186,78
15,12,-1597.9158091674462,293.47005437750335,78
15,14,-1428.8121212121212,289.986214507264,78
15,26,-730.0615003470915,295.5459323703446,77
15,22,-920.6295692863519,298.55613663147926,77
14,8,-1908.9388794567062,232.36875783234217,76
14,30,-457.70990475906046,233.54739486212,75
14,32,-400.58629320073425,235.90483511198923,75
14,6,-2178.6505513146735,234.61161546806417,76
14,10,-1676.7203597710547,234.23673914787028,76
14,2,-2849.693922651934,234.93344181254494,76
14,24,-687.6725501253394,232.18309518931096,75
14,26,-597.1052450720285,235.896321509724,75
14,4,-2491.4867924528303,232.012573318035,76
14,20,-901.1156038735454,235.4724294116312,75
14,22,-785.0707329644097,235.96116685408705,75
14,28,-522.1790634749772,234.25727668520713,75
14,12,-1473.3542510121458,231.71830425152083,76
14,18,-1037.7255276340964,231.78131110941658,75
14,14,-1296.2372013651877,234.62855990009402,76
14,16,-1146.55047318612,230.10200245783514,76
13,14,-1633.700139470014,173.7462874547881,74
13,16,-1491.8631857237276,173.4877030054378,74
13,18,-1364.01657785672,172.90837101194882,74
13,2,-2851.429809358752,170.46865108337323,74
13,4,-2592.513189448441,174.04778736652142,74
13,12,-1790.1529175050302,173.11031074027062,74
13,20,-1248.5720136518771,174.85426950580492,74
13,6,-2359.4785214785215,172.7834672901261,74
13,8,-2150.606909430439,176.0640936073255,74
13,10,-1961.3869565217392,174.85589742466257,74
13,32,-484.1207740850616,165.3636559054376,73
13,28,-699.9267834967233,168.51184180826073,73
13,30,-580.9114125389934,165.84403191953353,73
13,22,-1146.5898123324396,170.2235825218276,74
13,24,-1038.9401587984003,168.26525275520657,73
13,26,-852.9596823801916,164.99699807662913,73
13,34,-406.0635563603154,165.94819591678853,73
10,54,2120.188556341558,99.62710737581695,92
10,52,1909.3576682517173,99.11698219728727,92
10,48,1721.2680323479583,95.97529865177474,92
10,44,1553.1905813933797,94.24881572418215,92
10,42,1503.140206066087,68.76085123569868,91
10,38,1359.0728883869274,69.19562922776363,91
10,34,1229.2041265656417,68.16059272811933,91
10,26,924.8876457643495,77.80206932137901,91
10,24,834.9906418428158,74.8007018945733,92
10,22,749.0503124535785,76.83628071897567,92
