file,max_rss,time
Plugins/Digitization/src/CartesianSegmentation.cpp,668164096,6.517085
Plugins/Digitization/src/DigitizationModule.cpp,145162240,1.002643
Plugins/Digitization/src/PlanarModuleStepper.cpp,487448576,3.508547
Plugins/Json/src/MaterialMapJsonConverter.cpp,886816768,9.524366
Plugins/Json/src/AlgebraJsonConverter.cpp,492564480,4.01047
Plugins/Json/src/MaterialJsonConverter.cpp,582750208,5.514654
Plugins/Json/src/SurfaceBoundsJsonConverter.cpp,376909824,2.50673
Plugins/Json/src/SurfaceJsonConverter.cpp,649134080,6.015817
Plugins/Json/src/UtilitiesJsonConverter.cpp,618336256,6.015801
Plugins/Json/src/VolumeJsonConverter.cpp,582336512,4.511718
Plugins/TGeo/src/TGeoDetectorElement.cpp,621457408,4.010278
Plugins/TGeo/src/TGeoLayerBuilder.cpp,635965440,5.514348
Plugins/TGeo/src/TGeoParser.cpp,379752448,2.506999
Plugins/TGeo/src/TGeoPrimitivesHelper.cpp,146087936,1.002927
Plugins/TGeo/src/TGeoSurfaceConverter.cpp,828194816,6.51653
Plugins/DD4hep/src/ActsExtension.cpp,259321856,1.503738
Plugins/DD4hep/src/ConvertDD4hepDetector.cpp,813596672,7.017834
Plugins/DD4hep/src/ConvertDD4hepMaterial.cpp,790585344,6.516868
Plugins/DD4hep/src/DD4hepDetectorElement.cpp,524075008,3.509402
Plugins/DD4hep/src/DD4hepLayerBuilder.cpp,855977984,6.51626
Plugins/DD4hep/src/DD4hepVolumeBuilder.cpp,688668672,5.012769
Fatras/src/Digitization/Channelizer.cpp,513699840,3.508741
Fatras/src/Digitization/DigitizationError.cpp,630784,0.501275
Fatras/src/Digitization/PlanarSurfaceMask.cpp,479019008,3.508876
Fatras/src/Digitization/PlanarSurfaceDrift.cpp,490393600,4.010216
Fatras/src/EventData/Particle.cpp,144785408,1.002556
Fatras/src/EventData/ProcessType.cpp,618496,0.501246
Fatras/src/Kernel/SimulationError.cpp,622592,0.501338
Fatras/src/Physics/BetheHeitler.cpp,261361664,1.503889
Fatras/src/Physics/NuclearInteraction/NuclearInteraction.cpp,381116416,2.506416
Fatras/src/Physics/PhotonConversion.cpp,251256832,1.503807
Fatras/src/Physics/StandardInteractions.cpp,143241216,1.0025
Fatras/src/Utilities/LandauDistribution.cpp,561152,0.501213
Fatras/src/Utilities/ParticleData.cpp,626688,0.501298
Fatras/Geant4/src/Geant4Decay.cpp,327077888,2.005036
Fatras/Geant4/src/PDGtoG4Converter.cpp,144076800,1.002551
Fatras/Geant4/src/DummyDetectorConstruction.cpp,265949184,1.50396
Examples/Algorithms/Digitization/src/DigitizationAlgorithm.cpp,873820160,9.524351
Examples/Algorithms/Digitization/src/DigitizationConfig.cpp,867819520,7.018389
Examples/Algorithms/Digitization/src/MeasurementCreation.cpp,261611520,1.503714
Examples/Algorithms/Digitization/src/PlanarSteppingAlgorithm.cpp,806940672,7.017883
Examples/Algorithms/Digitization/src/SmearingAlgorithm.cpp,825663488,8.020399
Examples/Algorithms/Digitization/src/DigitizationOptions.cpp,771551232,6.014941
Examples/Algorithms/HepMC/src/HepMCProcessExtractor.cpp,438931456,4.010366
Examples/Algorithms/Fatras/src/FatrasAlgorithm.cpp,1613176832,25.063298
Examples/Algorithms/Fatras/src/FatrasAlgorithmOptions.cpp,566611968,4.511621
Examples/Algorithms/Geant4HepMC/src/EventAction.cpp,340729856,2.00525
Examples/Algorithms/Geant4HepMC/src/EventRecording.cpp,794918912,5.513805
Examples/Algorithms/Geant4HepMC/src/PrimaryGeneratorAction.cpp,260014080,1.503978
Examples/Algorithms/Geant4HepMC/src/RunAction.cpp,150171648,1.002664
Examples/Algorithms/Geant4HepMC/src/SteppingAction.cpp,363880448,2.506381
Examples/Algorithms/Geant4/src/EventAction.cpp,674988032,4.511365
Examples/Algorithms/Geant4/src/GdmlDetectorConstruction.cpp,276578304,1.504299
Examples/Algorithms/Geant4/src/GeantinoRecording.cpp,692932608,4.511257
Examples/Algorithms/Geant4/src/Geant4Options.cpp,760332288,6.015392
