gen1_geo_id,gen3_geo_id
1152921779484754177,1945555039024054528
1152921779484754433,1945555039024054784
1152921779484754689,1945555039024055040
1152921779484754945,1945555039024055296
1152921779484755201,1945555039024055552
1152921779484755457,1945555039024055808
1152921779484755713,1945555039024056064
1152921779484755969,1945555039024056320
1152921779484756225,1945555039024056576
1152921779484756481,1945555039024056832
1152921779484756737,1945555039024057088
1152921779484756993,1945555039024057344
1152921779484757249,1945555039024057600
1152921779484757505,1945555039024057856
1152921779484757761,1945555039024058112
1152921779484758017,1945555039024058368
1152921779484758273,1945555039024058624
1152921779484758529,1945555039024058880
1152921779484758785,1945555039024059136
1152921779484759041,1945555039024059392
1152921779484759297,1945555039024059648
1152921779484759553,1945555039024059904
1152921779484759809,1945555039024060160
1152921779484760065,1945555039024060416
1152921779484760322,1945555039024060672
1152921779484760578,1945555039024060928
1152921779484760834,1945555039024061184
1152921779484761090,1945555039024061440
1152921779484761346,1945555039024061696
1152921779484761602,1945555039024061952
1152921779484761858,1945555039024062208
1152921779484762114,1945555039024062464
1152921779484762370,1945555039024062720
1152921779484762626,1945555039024062976
1152921779484762882,1945555039024063232
1152921779484763138,1945555039024063488
1152921779484763394,1945555039024063744
1152921779484763650,1945555039024064000
1152921779484763906,1945555039024064256
1152921779484764162,1945555039024064512
1152921779484764418,1945555039024064768
1152921779484764674,1945555039024065024
1152921779484764930,1945555039024065280
1152921779484765186,1945555039024065536
1152921779484765442,1945555039024065792
1152921779484765698,1945555039024066048
1152921779484765954,1945555039024066304
1152921779484766210,1945555039024066560
1152921779484766466,1945555039024066816
1152921779484766722,1945555039024067072
1152921779484766978,1945555039024067328
1152921779484767234,1945555039024067584
1152921779484767490,1945555039024067840
1152921779484767746,1945555039024068096
1152921779484768002,1945555039024068352
1152921779484768258,1945555039024068608
1152921779484768514,1945555039024068864
1152921779484768770,1945555039024069120
1152921779484769026,1945555039024069376
1152921779484769282,1945555039024069632
1152921916923707649,1873497444986126592
1152921916923707905,1873497444986126848
1152921916923708161,1873497444986127104
1152921916923708417,1873497444986127360
1152921916923708673,1873497444986127616
1152921916923708929,1873497444986127872
1152921916923709185,1873497444986128128
1152921916923709441,1873497444986128384
1152921916923709697,1873497444986128640
1152921916923709953,1873497444986128896
1152921916923710209,1873497444986129152
1152921916923710465,1873497444986129408
1152921916923710721,1873497444986129664
1152921916923710977,1873497444986129920
1152921916923711233,1873497444986130176
1152921916923711489,1873497444986130432
1152921916923711745,1873497444986130688
1152921916923712001,1873497444986130944
1152921916923712257,1873497444986131200
1152921916923712513,1873497444986131456
1152921916923712769,1873497444986131712
1152921916923713025,1873497444986131968
1152921916923713281,1873497444986132224
1152921916923713537,1873497444986132480
1152921916923713794,1873497444986132736
1152921916923714050,1873497444986132992
1152921916923714306,1873497444986133248
1152921916923714562,1873497444986133504
1152921916923714818,1873497444986133760
1152921916923715074,1873497444986134016
1152921916923715330,1873497444986134272
1152921916923715586,1873497444986134528
1152921916923715842,1873497444986134784
1152921916923716098,1873497444986135040
