16,4,0,0,0,76,0
16,6,0,0,0,75,0
16,8,0,0,0,74,0
16,10,0,0,0,73,0
16,12,0,0,0,72,0
16,14,0,0,0,71,0
16,16,0,0,0,70,0
17,2,0,0,0,80,0
17,4,0,0,0,81,0
17,6,0,0,0,82,0
17,8,0,0,0,83,0
18,2,0,0,0,90,0
18,4,0,0,0,91,0
18,6,0,0,0,92,0
18,8,0,0,0,93,0
18,10,0,0,0,94,0
18,12,0,0,0,95,0
18,14,0,0,0,96,0
23,2,0,0,0,0,0
23,4,0,0,0,0,0
23,6,0,0,0,0,0
23,8,0,0,0,0,0
23,10,0,0,0,0,0
23,12,0,0,0,0,0
24,2,0,0,0,0,0
24,4,0,0,0,0,0
24,6,0,0,0,0,0
24,8,0,0,0,0,0
25,2,0,0,0,0,0
25,4,0,0,0,0,0
25,6,0,0,0,0,0
25,8,0,0,0,0,0
25,10,0,0,0,0,0
25,12,0,0,0,0,0
28,2,0,0,0,0,0
28,4,0,0,0,0,0
28,6,0,0,0,0,0
28,8,0,0,0,0,0
28,10,0,0,0,0,0
28,12,0,0,0,0,0
29,2,0,0,0,0,0
29,4,0,0,0,0,0
30,2,0,0,0,0,0
30,4,0,0,0,0,0
30,6,0,0,0,0,0
30,8,0,0,0,0,0
30,10,0,0,0,0,0
30,12,0,0,0,0,0
