particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599644147712,576460889742404096,25.5562496,19.3262882,-20.5272312,0.126942128,5.04204226,3.82496405,-4.05451393,7.51683378,0,0,0,0,0
4503599644147712,576461027181384704,57.8932877,43.955864,-46.568882,0.287985921,5.02727461,3.84435272,-4.05451393,7.51683378,0,0,0,0,1
4503599644147712,576461164620358656,92.2235107,70.3198853,-74.299881,0.459476739,5.01146698,3.86493659,-4.05451393,7.51683378,0,0,0,0,2
4503599644147712,576461302059349504,136.950928,105.006149,-110.561638,0.683722496,4.99066973,3.89175463,-4.05451393,7.51683378,0,0,0,0,3
4503599644147712,936748859932104960,205.593842,158.992432,-166.509552,1.0297091,4.95830059,3.93291187,-4.05451393,7.51683378,0,0,0,0,4
4503599644147712,936748997371093504,287.173523,224.362,-233.483261,1.4438802,4.91910601,3.98182583,-4.05451393,7.51683378,0,0,0,0,5
4503599644147712,936749134810075648,390.033264,308.701294,-318.70108,1.97087431,4.86853743,4.04349899,-4.05451393,7.51683378,0,0,0,0,6
4503599644147712,936749272249049600,518.063965,416.763947,-426.036957,2.63464856,4.80374432,4.12026405,-4.05451393,7.51683378,0,0,0,0,8
4503599644147712,936749272249049856,513.369202,412.739532,-422.075409,2.6101501,4.80615759,4.11744928,-4.05451393,7.51683378,0,0,0,0,7
4503599644147712,1224979236083900928,632.091797,515.993713,-522.878113,3.23352242,4.74424791,4.18863344,-4.05451393,7.51683378,0,0,0,0,9
4503599644147712,1224979373522861312,786.45575,655.006531,-655.965027,4.05654287,4.66089773,4.28118801,-4.05451393,7.51683378,0,0,0,0,10
